2022/10/05 09:15 UPDATE
需要ピーク時供給力(万kW),時間帯,供給力情報更新日,供給力情報更新時刻,需要ピーク時予備率(%),需要ピーク時使用率(%)
2093,10:00～11:00,10月05日,08:45,14,87

需要ピーク時予想最大電力(万kW),時間帯,予想最大電力情報更新日,予想最大電力情報更新時刻
2022/10/05,20:15,,
2022/10/05,20:20,,
2022/10/05,20:25,,
2022/10/05,20:30,,
2022/10/05,20:35,,
2022/10/05,20:40,,
2022/10/05,20:45,,
2022/10/05,20:50,,
2022/10/05,20:55,,
2022/10/05,21:00,,
2022/10/05,21:05,,
2022/10/05,21:10,,
2022/10/05,21:15,,
2022/10/05,21:20,,
2022/10/05,21:25,,
2022/10/05,21:30,,
2022/10/05,21:35,,
2022/10/05,21:40,,
2022/10/05,21:45,,
2022/10/05,21:50,,
2022/10/05,21:55,,
2022/10/05,22:00,,
2022/10/05,22:05,,
2022/10/05,22:10,,
2022/10/05,22:15,,
2022/10/05,22:20,,
2022/10/05,22:25,,
2022/10/05,22:30,,
2022/10/05,22:35,,
2022/10/05,22:40,,
2022/10/05,22:45,,
2022/10/05,22:50,,
2022/10/05,22:55,,
2022/10/05,23:00,,
2022/10/05,23:05,,
2022/10/05,23:10,,
2022/10/05,23:15,,
2022/10/05,23:20,,
2022/10/05,23:25,,
2022/10/05,23:30,,
2022/10/05,23:35,,
2022/10/05,23:40,,
2022/10/05,23:45,,
2022/10/05,23:50,,
2022/10/05,23:55,,
